title,url
,https://www.ebay.com/itm/334470159283?epid=18036893799&hash=item4ddff99bb3:g:GwUAAOSwR6FirPMy&amdata=enc%3AAQAHAAAA4LTD8YYhHhJ8KrzdCpk1GigMrDUGzv2AgIlm1Ct16OdLW98vXJIDMKaXgAKs9mLYkMTcGA54qFBMWWYaX68xoPk6zUxHgbg%2FJbCxRRjKv0XJ%2BAn9ik1rlmcPj%2B655V0mnewBUGHTUEPL%2FgqcEPtz0hCNdeaaailwyAmaZq12CABv%2BzKl5o9%2B3pKAX1TyMlwu%2F%2FBQHGzxZEXQIMUSS3TFOqiA%2Ff5w0YDEJODOcL5JWcmtlwC1vSvDDR214re%2BTxmc2vEWtGtG4LLiu%2FbHTLu5CZf0PBLeBV3ZV5B5Irgjx06O%7Ctkp%3ABFBM_M6jlelh&var=543728089917
,https://www.ebay.com/itm/334470199829?epid=26036898531&hash=item4ddffa3a15:g:GqkAAOSwnNVirPMd&amdata=enc%3AAQAHAAAA4BrNCqSLIPrIvGTHpu7xjdI%2FL5z4qagoe%2FhYXB1jFbkIF7petXGNANZM3cBiq1B23WS7LPbSiiwmtNNJ6KYygP5yejUyOVQ0X%2Fe%2FiFb66dlM017u2WRpevLzoRAYjYoZO%2F1Yyplncxd5d9d47S69zAO6fxowyop5OoFNr6axFsu9KWKUxktGpw7zQqtjz4OCb42hTgGRlqIY6ti9tTYB0P60loYfvLE834bt4Ap%2Fj5pjuAA5YQJvpQavjf8rjYsWO0h5gDkrHcrxUONkjpIbjB0STtIFonaBScwN05njW92T%7Ctkp%3ABFBM_M6jlelh&var=543727997679
Samsung Galaxy Note 20 Ultra Unlocked N986U 128GB Good,https://www.ebay.com/itm/334481215887?hash=item4de0a2518f:g:VOcAAOSwVVxjcpMs&amdata=enc%3AAQAHAAAA4JsNH1S%2B4m5RLN8q4daJUcc8vStUkgQlELf2EExp%2FsWSgTs%2BIyGMZZFq5kXyD7r7Gpxzop7Y2VYoIAwKuxm9nT0do1wION%2BBhr14CfOjZKaB0BvBMahAZlhwPXu6u28Hm%2Btu7NnrFEwkUuDjlLyRoECyxkhOdmQCb%2F7%2B%2FhYwsH8czbGenaHcG%2BOSaxB3XDGXrBqG9Cks2nTIZIz0qV7O77EdzSEsIbt7KyIURHezca3XzjJwlLuBKpd4ElTZamPLzLKowlDYLk1i0vtBVkX3rr0yn7%2Fn%2BBnHP6nbvrbglakL%7Ctkp%3ABFBM_s6jlelh&var=543728103733
"Samsung Galaxy S21, 5G, 128GB, Phantom Grey, Unlocked - Fair Condition",https://www.ebay.com/itm/334728586748?epid=26058018458&hash=item4def60e5fc:g:NWEAAOSwP2xkDLPy&amdata=enc%3AAQAHAAAA4LUIZI0KkwysYrnxBW3h4yY6LgKJ8wYsunh6XhHrgp20vXWT3noIvhl%2BKb7EJX77R3FhNYEyZMQ0JgsShqG%2B49GnTGumeFOK8k%2FJfIVuURDvr0UCtAL%2F1%2BDt27sspeStg4RreZgWwAYJavfMxuE4ZUFlbWToyjF6dM2wKX2IsYjtak%2BFMs80oBJdcq%2B6k02CyhKnnecIEcQv4%2Fkd4xo9qkfqbUQDnZAgskSTbpHsZRVr4KJbYhmSy%2Bj%2BO0oQv1e4rUtNmVE9hTqPnl%2B2syoHJMpLV2BAmWw9KxKwSwj4rrvX%7Ctkp%3ABFBM_s6jlelh
"SAMSUNG Galaxy S23, S23+, S23Ultra 5G Unlocked Smartphone Cellphone",https://www.ebay.com/itm/354557412430?hash=item528d44c44e:g:mwkAAOSwMphj21XQ&var=623937687359
Samsung Galaxy Note 20 5G N981U (Factory Unlocked) 128GB Smartphone,https://www.ebay.com/p/9040080100?iid=325349047528&var=514292156334
Samsung Galaxy S22 S901 128GB US Cellular Smartphone Excellent,https://www.ebay.com/p/25055117005?iid=284950234610&var=586757506175
Samsung Galaxy S21+ Plus 5G G996U 128GB (Factory Unlocked) Smartphone- Good,https://www.ebay.com/p/20043689450?iid=325566893699&var=514596051985
Samsung Galaxy Note 8 SM-N950U - 64GB - Black (Unlocked) - B Stock Heavy Shadow,https://www.ebay.com/p/28030654897?iid=185294126719
Samsung Galaxy S20 | S20+ | S20 FE | S20 Ultra 5G 128GB - Unlocked Verizon AT&T,https://www.ebay.com/p/20038967004?iid=275507425786&var=576432572897
Samsung Galaxy S22 Ultra 128GB 256GB S908U US Cellular Excellent,https://www.ebay.com/p/15052286533?iid=285078137760&var=586977704888
Samsung Galaxy S10 S10e S10+ Plus 128GB 512GB Unlocked Verizon T-Mobile AT&T ,https://www.ebay.com/p/9029456909?iid=275343078481&var=575657175710
Samsung Galaxy Note 20 Ultra Unlocked N986U 128GB,https://www.ebay.com/p/27040076768?iid=334578850436&var=543728249628
Samsung Galaxy S21 | S21+ Plus 5G - 128GB - Unlocked | Verizon | T-Mobile | AT&T,https://www.ebay.com/itm/185795944955?epid=8043691369&hash=item2b424d21fb:g:PZMAAOSwOEZj~qg1&amdata=enc%3AAQAHAAAA4MEsrxysGaGCfETvwCkGnLYNLaS30hk3%2FdIKw%2FEgpNtNhNmdi94UBVF1f2tkfGFmS5J1VN7OjRu8zu9mX%2FrzSAwKo25qWh%2BfX9d9h2ronArPDTSgQkfl2K%2BZyPZRgcFcT0pUZGe62b%2F%2FRVmrkneSnCm%2FBN8E0hKb3zxJxaG593ZHmdH9nj%2BDgRcAvpgRF3CgozhBPGtn9nRmM25tjEkBCh0W5ulZ7pERJ%2BtNki9pGK7TypMIU74w40QiWymWc%2Fzs6obSMZnMZbON8pajBB%2B2De%2FYReIMB1YfwfHFrS9YpB9l%7Ctkp%3ABFBM_s6jlelh&var=693744210310
Samsung Galaxy S20 FE Unlocked 5G SM-G781V - 128GB - Cloud Navy,https://www.ebay.com/itm/304833503828?epid=26041210699&hash=item46f97e2254:g:sGsAAOSw0txkCqTJ&amdata=enc%3AAQAHAAAA4NnueV4tINesVo9ziyprBhjk6jx4lPQA5sGSApN%2FDnn4wieifzGeQLb9sFmUsQgOadPOEkel%2FUK8SV2MgOTcP1KLXII63qX0OV0jVOiyFDNGvjUGHTvtiTibf6iW1R0N94%2Fvu0S84QLuIQomfCtDB%2FgJg%2BOGgyazc7HJD%2Bjd68U4Pf9nPPAvW7h0%2BvxdrTVZwV9jYxxqZIKrleJG6I74a2lrBb2kA94977Fe35yNCb4tOgmSq4govGngFh9S5chGd4Sa%2BLFOzNiQzouKk3qI%2F22b6zF7F23IFajC4%2BSdYIyk%7Ctkp%3ABFBM_s6jlelh
